candidate_id,ministry_code,field_name,sector_name,program_code,fiscal_year,account_type,performance_program_name,priority_tier,priority_reason,account_original_budget,fiscal_impact_within_ministry,performance_gap,execution_management,budget_performance_mismatch,fiscal_impact,scenario,scenario_score,scenario_score_within_ministry,scenario_rank_min,scenario_rank_average,scenario_rank_max,scenario_rank_percentile,scenario_rank_min_within_ministry,scenario_rank_average_within_ministry,scenario_rank_max_within_ministry,scenario_rank_percentile_within_ministry,scenario_weights
075:2023:보건:보건의료:2700:GENERAL_ACCOUNT,075,보건,보건의료,2700,2023,GENERAL_ACCOUNT,공공보건의료확충,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,1108174000000,0.7692307692307693,0.0,0.0010539861068749132,0.04428817135215228,0.8188405797101449,equal,0.216045684292293,0.2036432316724491,129,129.0,129,0.3816425120772947,55,55.0,55,0.23943661971830987,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
162:2023:과학기술:과학기술연구지원:1600:GENERAL_ACCOUNT,162,과학기술,과학기술연구지원,1600,2023,GENERAL_ACCOUNT,과학기술기반조성,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,63956000000,0.5,0.5,1.0,0.0,0.42028985507246375,equal,0.48007246376811596,0.5,14,14.0,14,0.9371980676328502,1,1.0,1,1.0,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,5872000000,0.07692307692307693,1.0,0.5,0.0,0.09420289855072464,equal,0.39855072463768115,0.3942307692307692,37,37.0,37,0.8260869565217391,14,14.0,14,0.8169014084507042,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:보건:보건의료:3800:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,3800,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립나주병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;PROGRAM_STRUCTURE_CONTEXT,7306000000,0.1282051282051282,0.5,0.7340542020257322,0.07966055297016152,0.10869565217391304,equal,0.3556026017924517,0.36047997080025546,50,50.0,50,0.7632850241545894,19,19.0,19,0.7464788732394366,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:취약계층지원:1800:RESPONSIBLE_OPERATION_ACCOUNT,075,사회복지,취약계층지원,1800,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립재활원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,32119000000,0.3333333333333333,0.5,0.5,0.07263613437529189,0.2608695652173913,equal,0.3333764248981708,0.3514923669271563,58,58.0,58,0.7246376811594203,22,22.0,22,0.704225352112676,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:보건:보건의료:3700:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,3700,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립정신건강센터,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;PROGRAM_STRUCTURE_CONTEXT,17756000000,0.23076923076923078,0.5,0.5,0.010559810768191034,0.18115942028985507,equal,0.2979298077645115,0.31033226038435546,77,77.0,77,0.6328502415458936,32,32.0,32,0.5633802816901409,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,5694000000,0.05128205128205128,1.0,1.0,0.21742184755883387,0.08695652173913043,equal,0.576094592324491,0.5671759747102212,4,4.0,4,0.9855072463768116,1,1.0,1,1.0,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:보건:보건의료:3300:GENERAL_ACCOUNT,075,보건,보건의료,3300,2023,GENERAL_ACCOUNT,국민건강생활실천,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,172081000000,0.46153846153846156,1.0,0.07345378048709619,0.0,0.5869565217391305,equal,0.4151025755565567,0.38374806050638954,32,32.0,32,0.8502415458937198,17,17.0,17,0.7746478873239436,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:노동:3000:FUND,019,사회복지,노동,3000,2023,FUND,근로조건보호및복지증진,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,1029040000000,0.5789473684210527,0.0,0.015183083262069502,0.00539531990981886,0.8115942028985508,equal,0.20804315151760977,0.14988144289823524,134,134.0,134,0.35748792270531404,31,31.0,31,0.18918918918918914,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:기초생활보장:1100:GENERAL_ACCOUNT,075,사회복지,기초생활보장,1100,2023,GENERAL_ACCOUNT,기초생활보장,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,16405912000000,0.9487179487179487,1.0,1.2190727342679882e-07,0.013875851583258523,0.9855072463768116,equal,0.49984580496683584,0.4906484805521201,9,9.0,9,0.961352657004831,4,4.0,4,0.9577464788732395,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:아동·보육:3100:GENERAL_ACCOUNT,075,사회복지,아동·보육,3100,2023,GENERAL_ACCOUNT,보육지원강화,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,6678017000000,0.8974358974358975,0.5,0.0003485316075116311,0.12140235641808039,0.9565217391304348,equal,0.3945681567890067,0.3797966963653724,39,39.0,39,0.8164251207729468,18,18.0,18,0.7605633802816901,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:노동:4100:FUND,019,사회복지,노동,4100,2023,FUND,산업재해예방,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,1198698000000,0.6842105263157895,0.3333333333333333,0.0,0.0024590569656966696,0.8333333333333334,equal,0.29228143090809083,0.25500072915370486,81,81.0,81,0.6135265700483092,20,20.0,20,0.4864864864864865,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
162:2023:통신:우정:5100:SPECIAL_ACCOUNT,162,통신,우정,5100,2023,SPECIAL_ACCOUNT,우정서비스,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,1982736000000,0.9827586206896551,0.5,0.0,0.05734575858813276,0.8840579710144928,equal,0.3603509324006564,0.385026094819447,49,49.0,49,0.7681159420289855,4,4.0,4,0.9473684210526316,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
162:2023:통신:정보통신:2000:FUND,162,통신,정보통신,2000,2023,FUND,인터넷융합산업,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,159344000000,0.7241379310344828,0.5,0.0,0.04079224821769254,0.5652173913043478,equal,0.2765024098805101,0.31623254481304386,94,94.0,94,0.5507246376811594,11,11.0,11,0.8245614035087719,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
162:2023:통신:정보통신:2000:GENERAL_ACCOUNT,162,통신,정보통신,2000,2023,GENERAL_ACCOUNT,인터넷융합산업,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,100556000000,0.6206896551724138,0.5,0.0,0.03977882970683003,0.4927536231884058,equal,0.25813311322380894,0.2901171212198109,105,105.0,105,0.4975845410628019,13,13.0,13,0.7894736842105263,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
162:2023:통신:정보통신:2000:SPECIAL_ACCOUNT,162,통신,정보통신,2000,2023,SPECIAL_ACCOUNT,인터넷융합산업,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,75094000000,0.5344827586206896,0.5,0.0,0.059259061975657175,0.43478260869565216,equal,0.24851041766782733,0.27343545514908674,106,106.0,106,0.49275362318840576,17,17.0,17,0.7192982456140351,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1400:FUND,019,사회복지,고용,1400,2023,FUND,장애인고용증진,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,793474000000,0.47368421052631576,0.0,0.0028999059830567856,0.0003831253450018526,0.782608695652174,equal,0.19647293174505814,0.1192418104635936,146,146.0,146,0.2995169082125604,32,32.0,32,0.16216216216216217,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:취약계층지원:1500:FUND,075,사회복지,취약계층지원,1500,2023,FUND,장애인생활안정 및 재활 지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,7224000000,0.10256410256410256,0.5,0.0,0.2768549280177187,0.10144927536231885,equal,0.2195760508450094,0.2198547576454553,124,124.0,124,0.4057971014492754,49,49.0,49,0.323943661971831,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:취약계층지원:1500:GENERAL_ACCOUNT,075,사회복지,취약계층지원,1500,2023,GENERAL_ACCOUNT,장애인생활안정 및 재활 지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,4532450000000,0.8717948717948718,0.5,0.0,6.905757371840837e-05,0.9492753623188406,equal,0.3623361049731397,0.34296598234214754,48,48.0,48,0.7729468599033816,23,23.0,23,0.6901408450704225,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:아동·보육:2500:FUND,075,사회복지,아동·보육,2500,2023,FUND,저출산대응및인구정책지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,19906000000,0.2564102564102564,1.0,0.33648146287551495,0.0,0.2028985507246377,equal,0.38484500340003813,0.3982229298214428,41,41.0,41,0.8067632850241546,12,12.0,12,0.8450704225352113,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:사회복지:아동·보육:2500:GENERAL_ACCOUNT,075,사회복지,아동·보육,2500,2023,GENERAL_ACCOUNT,저출산대응및인구정책지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,2625301000000,0.8461538461538461,1.0,0.0010497843866284285,0.0,0.9202898550724637,equal,0.480334909864773,0.4618009076351186,13,13.0,13,0.9420289855072463,5,5.0,5,0.9436619718309859,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
102:2023:산업·중소기업및에너지:중소기업및소상공인육성:2100:GENERAL_ACCOUNT,102,산업·중소기업및에너지,중소기업및소상공인육성,2100,2023,GENERAL_ACCOUNT,중소기업기술개발지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,1481056000000,0.8636363636363636,1.0,0.0,0.0038708867186656006,0.855072463768116,equal,0.4647358376216954,0.46687681258875735,16,16.0,16,0.927536231884058,4,4.0,4,0.9230769230769231,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
102:2023:산업·중소기업및에너지:중소기업및소상공인육성:2100:SPECIAL_ACCOUNT,102,산업·중소기업및에너지,중소기업및소상공인육성,2100,2023,SPECIAL_ACCOUNT,중소기업기술개발지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,271720000000,0.6363636363636364,1.0,0.0,0.05712866185779479,0.6739130434782609,equal,0.4327604263340139,0.4233730745553578,25,25.0,25,0.8840579710144928,7,7.0,7,0.8461538461538461,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1100:FUND,019,사회복지,고용,1100,2023,FUND,직업능력개발,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,1894749000000,0.7368421052631579,1.0,0.5,0.0,0.8695652173913043,equal,0.592391304347826,0.5592105263157895,1,1.0,1,1.0,2,2.0,2,0.972972972972973,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2024:사회복지:고용:1000:FUND,019,사회복지,고용,1000,2024,FUND,고용창출,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,338823000000,0.42105263157894735,0.0,0.5,0.48726326134884584,0.7226277372262774,equal,0.4274727496437808,0.35207897323194826,27,27.0,27,0.8743961352657005,12,12.0,12,0.7027027027027026,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2024:사회복지:고용:1000:GENERAL_ACCOUNT,019,사회복지,고용,1000,2024,GENERAL_ACCOUNT,고용창출,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,1531584000000,0.7368421052631579,0.0,0.5,0.10697878797375789,0.8467153284671532,equal,0.3634235291102278,0.33595522330922895,46,46.0,46,0.782608695652174,13,13.0,13,0.6756756756756757,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2024:보건:보건의료:2700:GENERAL_ACCOUNT,075,보건,보건의료,2700,2024,GENERAL_ACCOUNT,공공보건의료확충,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,177230000000,0.48717948717948717,0.0,0.010082943068329289,0.07310274784178751,0.6131386861313869,equal,0.17408109426037593,0.142591294522401,157,157.0,157,0.24637681159420288,68,68.0,68,0.05633802816901412,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,5855000000,0.02564102564102564,1.0,1.0,0.0,0.08759124087591241,equal,0.5218978102189781,0.5064102564102564,6,6.0,6,0.9758454106280193,3,3.0,3,0.971830985915493,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2024:보건:보건의료:3800:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,3800,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립나주병원,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;PROGRAM_STRUCTURE_CONTEXT,7044000000,0.1282051282051282,0.0,0.5,0.008375922771152754,0.11678832116788321,equal,0.15629106098475898,0.15914526274407023,172,172.0,172,0.17391304347826086,65,65.0,65,0.09859154929577463,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2024:사회복지:취약계층지원:1800:RESPONSIBLE_OPERATION_ACCOUNT,075,사회복지,취약계층지원,1800,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립재활원,MULTIPLE_SIGNAL_REVIEW,EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,30746000000,0.3333333333333333,0.0,1.0,0.007285500552917453,0.26277372262773724,equal,0.31751480579516367,0.33515470847156265,65,65.0,65,0.6908212560386473,25,25.0,25,0.6619718309859155,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
162:2024:과학기술:과학기술인력및문화:2200:RESPONSIBLE_OPERATION_ACCOUNT,162,과학기술,과학기술인력및문화,2200,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립중앙과학관운영,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT,11925000000,0.1864406779661017,1.0,0.5,0.0,0.1678832116788321,equal,0.416970802919708,0.4216101694915254,30,30.0,30,0.8599033816425121,3,3.0,3,0.9649122807017544,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2024:보건:보건의료:3300:GENERAL_ACCOUNT,075,보건,보건의료,3300,2024,GENERAL_ACCOUNT,국민건강생활실천,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,231439000000,0.5897435897435898,1.0,0.025533725949386233,0.0,0.6642335766423357,equal,0.4224418256479305,0.403819328923244,28,28.0,28,0.8695652173913043,11,11.0,11,0.8591549295774648,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
